Times,Fold,T,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Confusion Matrix
5,1,0.0,W-SVM,co_author_50_250,0.94,0.6,0.751,0.6316,0.8833,0.77,"[[47, 3], [4, 6]]"
5,1,0.0,PSO-AFW-CIL,co_author_50_250,0.94,0.7,0.8112,0.7,0.9,0.82,"[[47, 3], [3, 7]]"
5,2,0.0,W-SVM,co_author_50_250,0.94,0.5,0.6856,0.5556,0.8667,0.72,"[[47, 3], [5, 5]]"
5,2,0.0,PSO-AFW-CIL,co_author_50_250,0.88,0.7,0.7849,0.6087,0.85,0.79,"[[44, 6], [3, 7]]"
5,3,0.0,W-SVM,co_author_50_250,0.84,0.8,0.8198,0.6154,0.8333,0.82,"[[42, 8], [2, 8]]"
5,3,0.0,PSO-AFW-CIL,co_author_50_250,0.7,1.0,0.8367,0.5714,0.75,0.85,"[[35, 15], [0, 10]]"
5,4,0.0,W-SVM,co_author_50_250,0.92,0.4,0.6066,0.4444,0.8333,0.66,"[[46, 4], [6, 4]]"
5,4,0.0,PSO-AFW-CIL,co_author_50_250,0.84,0.5,0.6481,0.4348,0.7833,0.67,"[[42, 8], [5, 5]]"
5,5,0.0,W-SVM,co_author_50_250,0.96,0.4,0.6197,0.5,0.8667,0.68,"[[48, 2], [6, 4]]"
5,5,0.0,PSO-AFW-CIL,co_author_50_250,0.74,0.8,0.7694,0.5161,0.75,0.77,"[[37, 13], [2, 8]]"
1,1,0.0,W-SVM,co_author_100_500,0.95,0.45,0.6538,0.5294,0.8667,0.7,"[[95, 5], [11, 9]]"
1,1,0.0,PSO-AFW-CIL,co_author_100_500,0.86,0.8,0.8295,0.64,0.85,0.83,"[[86, 14], [4, 16]]"
1,2,0.0,W-SVM,co_author_100_500,0.97,0.5,0.6964,0.6061,0.8917,0.735,"[[97, 3], [10, 10]]"
1,2,0.0,PSO-AFW-CIL,co_author_100_500,0.86,0.7,0.7759,0.5833,0.8333,0.78,"[[86, 14], [6, 14]]"
1,3,0.0,W-SVM,co_author_100_500,0.94,0.55,0.719,0.5946,0.875,0.745,"[[94, 6], [9, 11]]"
1,3,0.0,PSO-AFW-CIL,co_author_100_500,0.84,0.9,0.8695,0.6667,0.85,0.87,"[[84, 16], [2, 18]]"
1,4,0.0,W-SVM,co_author_100_500,0.88,0.5,0.6633,0.4762,0.8167,0.69,"[[88, 12], [10, 10]]"
1,4,0.0,PSO-AFW-CIL,co_author_100_500,0.79,0.8,0.795,0.5614,0.7917,0.795,"[[79, 21], [4, 16]]"
1,5,0.0,W-SVM,co_author_100_500,0.92,0.55,0.7113,0.5641,0.8583,0.735,"[[92, 8], [9, 11]]"
1,5,0.0,PSO-AFW-CIL,co_author_100_500,0.83,0.85,0.8399,0.6296,0.8333,0.84,"[[83, 17], [3, 17]]"
2,1,0.0,W-SVM,co_author_100_500,0.96,0.6,0.7589,0.6667,0.9,0.78,"[[96, 4], [8, 12]]"
2,1,0.0,PSO-AFW-CIL,co_author_100_500,0.82,0.9,0.8591,0.6429,0.8333,0.86,"[[82, 18], [2, 18]]"
2,2,0.0,W-SVM,co_author_100_500,0.91,0.55,0.7075,0.55,0.85,0.73,"[[91, 9], [9, 11]]"
2,2,0.0,PSO-AFW-CIL,co_author_100_500,0.8,0.8,0.8,0.5714,0.8,0.8,"[[80, 20], [4, 16]]"
2,3,0.0,W-SVM,co_author_100_500,0.97,0.3,0.5394,0.4138,0.8583,0.635,"[[97, 3], [14, 6]]"
2,3,0.0,PSO-AFW-CIL,co_author_100_500,0.86,0.7,0.7759,0.5833,0.8333,0.78,"[[86, 14], [6, 14]]"
2,4,0.0,W-SVM,co_author_100_500,0.9,0.5,0.6708,0.5,0.8333,0.7,"[[90, 10], [10, 10]]"
2,4,0.0,PSO-AFW-CIL,co_author_100_500,0.84,0.75,0.7937,0.5882,0.825,0.795,"[[84, 16], [5, 15]]"
2,5,0.0,W-SVM,co_author_100_500,0.94,0.55,0.719,0.5946,0.875,0.745,"[[94, 6], [9, 11]]"
2,5,0.0,PSO-AFW-CIL,co_author_100_500,0.92,0.9,0.9099,0.7826,0.9167,0.91,"[[92, 8], [2, 18]]"
3,1,0.0,W-SVM,co_author_100_500,0.94,0.3,0.531,0.375,0.8333,0.62,"[[94, 6], [14, 6]]"
3,1,0.0,PSO-AFW-CIL,co_author_100_500,0.82,0.65,0.7301,0.5098,0.7917,0.735,"[[82, 18], [7, 13]]"
3,2,0.0,W-SVM,co_author_100_500,0.92,0.6,0.743,0.6,0.8667,0.76,"[[92, 8], [8, 12]]"
3,2,0.0,PSO-AFW-CIL,co_author_100_500,0.82,1.0,0.9055,0.6897,0.85,0.91,"[[82, 18], [0, 20]]"
3,3,0.0,W-SVM,co_author_100_500,0.96,0.4,0.6197,0.5,0.8667,0.68,"[[96, 4], [12, 8]]"
3,3,0.0,PSO-AFW-CIL,co_author_100_500,0.86,0.85,0.855,0.6667,0.8583,0.855,"[[86, 14], [3, 17]]"
3,4,0.0,W-SVM,co_author_100_500,0.88,0.55,0.6957,0.5116,0.825,0.715,"[[88, 12], [9, 11]]"
3,4,0.0,PSO-AFW-CIL,co_author_100_500,0.86,0.7,0.7759,0.5833,0.8333,0.78,"[[86, 14], [6, 14]]"
3,5,0.0,W-SVM,co_author_100_500,0.93,0.65,0.7775,0.65,0.8833,0.79,"[[93, 7], [7, 13]]"
3,5,0.0,PSO-AFW-CIL,co_author_100_500,0.89,0.75,0.817,0.6522,0.8667,0.82,"[[89, 11], [5, 15]]"
4,1,0.0,W-SVM,co_author_100_500,0.87,0.7,0.7804,0.5957,0.8417,0.785,"[[87, 13], [6, 14]]"
4,1,0.0,PSO-AFW-CIL,co_author_100_500,0.83,0.8,0.8149,0.6038,0.825,0.815,"[[83, 17], [4, 16]]"
4,2,0.0,W-SVM,co_author_100_500,0.93,0.25,0.4822,0.3125,0.8167,0.59,"[[93, 7], [15, 5]]"
4,2,0.0,PSO-AFW-CIL,co_author_100_500,0.79,0.7,0.7436,0.5091,0.775,0.745,"[[79, 21], [6, 14]]"
4,3,0.0,W-SVM,co_author_100_500,0.96,0.7,0.8198,0.7368,0.9167,0.83,"[[96, 4], [6, 14]]"
4,3,0.0,PSO-AFW-CIL,co_author_100_500,0.81,0.75,0.7794,0.5556,0.8,0.78,"[[81, 19], [5, 15]]"
4,4,0.0,W-SVM,co_author_100_500,0.95,0.5,0.6892,0.5714,0.875,0.725,"[[95, 5], [10, 10]]"
4,4,0.0,PSO-AFW-CIL,co_author_100_500,0.9,0.85,0.8746,0.7234,0.8917,0.875,"[[90, 10], [3, 17]]"
4,5,0.0,W-SVM,co_author_100_500,0.94,0.45,0.6504,0.5143,0.8583,0.695,"[[94, 6], [11, 9]]"
4,5,0.0,PSO-AFW-CIL,co_author_100_500,0.87,0.75,0.8078,0.625,0.85,0.81,"[[87, 13], [5, 15]]"
5,1,0.0,W-SVM,co_author_100_500,0.93,0.4,0.6099,0.4571,0.8417,0.665,"[[93, 7], [12, 8]]"
5,1,0.0,PSO-AFW-CIL,co_author_100_500,0.89,0.75,0.817,0.6522,0.8667,0.82,"[[89, 11], [5, 15]]"
5,2,0.0,W-SVM,co_author_100_500,0.9,0.7,0.7937,0.6364,0.8667,0.8,"[[90, 10], [6, 14]]"
5,2,0.0,PSO-AFW-CIL,co_author_100_500,0.8,0.7,0.7483,0.5185,0.7833,0.75,"[[80, 20], [6, 14]]"
5,3,0.0,W-SVM,co_author_100_500,0.88,0.45,0.6293,0.439,0.8083,0.665,"[[88, 12], [11, 9]]"
5,3,0.0,PSO-AFW-CIL,co_author_100_500,0.81,0.7,0.753,0.5283,0.7917,0.755,"[[81, 19], [6, 14]]"
5,4,0.0,W-SVM,co_author_100_500,0.96,0.45,0.6573,0.5455,0.875,0.705,"[[96, 4], [11, 9]]"
5,4,0.0,PSO-AFW-CIL,co_author_100_500,0.94,0.8,0.8672,0.7619,0.9167,0.87,"[[94, 6], [4, 16]]"
5,5,0.0,W-SVM,co_author_100_500,0.96,0.65,0.7899,0.7027,0.9083,0.805,"[[96, 4], [7, 13]]"
5,5,0.0,PSO-AFW-CIL,co_author_100_500,0.92,0.85,0.8843,0.7556,0.9083,0.885,"[[92, 8], [3, 17]]"
1,1,0.0,W-SVM,co_author_100_900,0.9222,0.4,0.6074,0.381,0.87,0.6611,"[[166, 14], [12, 8]]"
1,1,0.0,PSO-AFW-CIL,co_author_100_900,0.7944,0.8,0.7972,0.4384,0.795,0.7972,"[[143, 37], [4, 16]]"
1,2,0.0,W-SVM,co_author_100_900,1.0,0.0,0.0,0.0,0.9,0.5,"[[180, 0], [20, 0]]"
1,2,0.0,PSO-AFW-CIL,co_author_100_900,0.8389,0.7,0.7663,0.4444,0.825,0.7694,"[[151, 29], [6, 14]]"
1,3,0.0,W-SVM,co_author_100_900,0.9389,0.5,0.6852,0.4878,0.895,0.7194,"[[169, 11], [10, 10]]"
1,3,0.0,PSO-AFW-CIL,co_author_100_900,0.8389,0.9,0.8689,0.5373,0.845,0.8694,"[[151, 29], [2, 18]]"
1,4,0.0,W-SVM,co_author_100_900,0.9722,0.25,0.493,0.3333,0.9,0.6111,"[[175, 5], [15, 5]]"
1,4,0.0,PSO-AFW-CIL,co_author_100_900,0.8556,0.8,0.8273,0.5161,0.85,0.8278,"[[154, 26], [4, 16]]"
1,5,0.0,W-SVM,co_author_100_900,0.9889,0.45,0.6671,0.5806,0.935,0.7194,"[[178, 2], [11, 9]]"
