Times,Fold,T,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Confusion Matrix
1,1,0.0256,W-SVM,baseline,0.8222,0.3529,0.5387,0.3871,0.6935,0.5876,"[[37, 8], [11, 6]]"
1,1,0.0432,SMOTE+W-SVM,borderline_smote,0.7556,0.4706,0.5963,0.4444,0.6774,0.6131,"[[34, 11], [9, 8]]"
1,1,0.0295,AFW-CIL_fixed,fixed_sigma_1.2,0.8222,0.3529,0.5387,0.3871,0.6935,0.5876,"[[37, 8], [11, 6]]"
1,1,0.0265,PSO-AFW-CIL,"K=5,s1=0.474,s2=0.026,s3=0.222,s4=0.447",0.7556,0.5294,0.6325,0.4865,0.6935,0.6425,"[[34, 11], [8, 9]]"
1,1,0.0265,SMOTE+AFW-CIL_fixed,fixed_sigma_1.2,0.7111,0.5294,0.6136,0.4615,0.6613,0.6203,"[[32, 13], [8, 9]]"
1,1,0.0688,SMOTE+PSO-AFW-CIL,"K=6,s1=0.437,s2=0.528,s3=0.057,s4=0.489",0.7556,0.4706,0.5963,0.4444,0.6774,0.6131,"[[34, 11], [9, 8]]"
1,2,0.018,W-SVM,baseline,1.0,0.0,0.0,0.0,0.7377,0.5,"[[45, 0], [16, 0]]"
1,2,0.0412,SMOTE+W-SVM,borderline_smote,0.8222,0.4375,0.5998,0.4516,0.7213,0.6299,"[[37, 8], [9, 7]]"
1,2,0.0336,AFW-CIL_fixed,fixed_sigma_1.2,0.8667,0.4375,0.6158,0.4828,0.7541,0.6521,"[[39, 6], [9, 7]]"
1,2,0.0233,PSO-AFW-CIL,"K=11,s1=0.260,s2=0.084,s3=0.149,s4=0.172",0.6667,0.75,0.7071,0.5581,0.6885,0.7083,"[[30, 15], [4, 12]]"
1,2,0.0268,SMOTE+AFW-CIL_fixed,fixed_sigma_1.2,0.6667,0.625,0.6455,0.4878,0.6557,0.6458,"[[30, 15], [6, 10]]"
1,2,0.0307,SMOTE+PSO-AFW-CIL,"K=9,s1=0.304,s2=0.233,s3=0.129,s4=0.361",0.7333,0.6875,0.71,0.5641,0.7213,0.7104,"[[33, 12], [5, 11]]"
1,3,0.0175,W-SVM,baseline,0.9333,0.25,0.483,0.3478,0.7541,0.5917,"[[42, 3], [12, 4]]"
1,3,0.0328,SMOTE+W-SVM,borderline_smote,0.8,0.375,0.5477,0.3871,0.6885,0.5875,"[[36, 9], [10, 6]]"
1,3,0.0161,AFW-CIL_fixed,fixed_sigma_1.2,0.8667,0.25,0.4655,0.3077,0.7049,0.5583,"[[39, 6], [12, 4]]"
1,3,0.0153,PSO-AFW-CIL,"K=10,s1=0.461,s2=0.010,s3=0.098,s4=0.356",0.6889,0.5,0.5869,0.4211,0.6393,0.5944,"[[31, 14], [8, 8]]"
