Times,Fold,T,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Confusion Matrix
2,4,1.7997,GridSearch-AFW-CIL,"K=3,s=0.1",0.5556,0.75,0.6455,0.5,0.6066,0.6528,"[[25, 20], [4, 12]]"
2,4,4.7221,PSO-AFW-CIL,"K=11,s1=0.010,s2=0.010,s3=0.428,s4=0.847",0.5556,0.75,0.6455,0.5,0.6066,0.6528,"[[25, 20], [4, 12]]"
2,5,0.1069,W-SVM,baseline,0.9111,0.3125,0.5336,0.4,0.7541,0.6118,"[[41, 4], [11, 5]]"
2,5,0.2383,AFW-CIL_fixed,fixed_sigma_1.2,0.8222,0.375,0.5553,0.4,0.7049,0.5986,"[[37, 8], [10, 6]]"
2,5,1.9625,GridSearch-AFW-CIL,"K=3,s=0.3",0.7333,0.5,0.6055,0.4444,0.6721,0.6167,"[[33, 12], [8, 8]]"
2,5,4.7323,PSO-AFW-CIL,"K=6,s1=0.141,s2=0.418,s3=0.140,s4=0.882",0.8,0.5,0.6325,0.4848,0.7213,0.65,"[[36, 9], [8, 8]]"
3,1,0.0182,W-SVM,baseline,1.0,0.0,0.0,0.0,0.7258,0.5,"[[45, 0], [17, 0]]"
3,1,0.1175,AFW-CIL_fixed,fixed_sigma_1.2,0.8222,0.4706,0.622,0.4848,0.7258,0.6464,"[[37, 8], [9, 8]]"
3,1,1.8922,GridSearch-AFW-CIL,"K=5,s=0.3",0.7556,0.6471,0.6992,0.5641,0.7258,0.7013,"[[34, 11], [6, 11]]"
3,1,5.2969,PSO-AFW-CIL,"K=4,s1=0.421,s2=0.064,s3=0.154,s4=0.794",0.6667,0.7647,0.714,0.5778,0.6935,0.7157,"[[30, 15], [4, 13]]"
3,2,0.0188,W-SVM,baseline,0.8222,0.3125,0.5069,0.3448,0.6885,0.5674,"[[37, 8], [11, 5]]"
3,2,0.2452,AFW-CIL_fixed,fixed_sigma_1.2,0.7778,0.4375,0.5833,0.4242,0.6885,0.6076,"[[35, 10], [9, 7]]"
3,2,1.8382,GridSearch-AFW-CIL,"K=3,s=0.1",0.6444,0.6875,0.6656,0.5116,0.6557,0.666,"[[29, 16], [5, 11]]"
3,2,5.3693,PSO-AFW-CIL,"K=6,s1=0.065,s2=0.052,s3=0.403,s4=0.653",0.6,0.625,0.6124,0.4545,0.6066,0.6125,"[[27, 18], [6, 10]]"
3,3,0.0142,W-SVM,baseline,1.0,0.0,0.0,0.0,0.7377,0.5,"[[45, 0], [16, 0]]"
3,3,0.1145,AFW-CIL_fixed,fixed_sigma_1.2,0.8889,0.625,0.7454,0.6452,0.8197,0.7569,"[[40, 5], [6, 10]]"
3,3,2.0999,GridSearch-AFW-CIL,"K=7,s=0.5",0.8444,0.625,0.7265,0.6061,0.7869,0.7347,"[[38, 7], [6, 10]]"
3,3,4.9726,PSO-AFW-CIL,"K=5,s1=0.439,s2=0.930,s3=0.275,s4=0.010",1.0,0.0,0.0,0.0,0.7377,0.5,"[[45, 0], [16, 0]]"
3,4,0.0157,W-SVM,baseline,0.9111,0.25,0.4773,0.3333,0.7377,0.5806,"[[41, 4], [12, 4]]"
3,4,0.1152,AFW-CIL_fixed,fixed_sigma_1.2,0.9111,0.25,0.4773,0.3333,0.7377,0.5806,"[[41, 4], [12, 4]]"
3,4,1.9026,GridSearch-AFW-CIL,"K=5,s=0.1",0.5556,0.6875,0.618,0.4681,0.5902,0.6215,"[[25, 20], [5, 11]]"
3,4,4.8535,PSO-AFW-CIL,"K=7,s1=0.044,s2=0.112,s3=0.116,s4=0.616",0.5556,0.6875,0.618,0.4681,0.5902,0.6215,"[[25, 20], [5, 11]]"
3,5,0.0163,W-SVM,baseline,0.8889,0.3125,0.527,0.3846,0.7377,0.6007,"[[40, 5], [11, 5]]"
3,5,0.0866,AFW-CIL_fixed,fixed_sigma_1.2,0.8444,0.3125,0.5137,0.3571,0.7049,0.5785,"[[38, 7], [11, 5]]"
3,5,1.9144,GridSearch-AFW-CIL,"K=3,s=0.1",0.7333,0.5,0.6055,0.4444,0.6721,0.6167,"[[33, 12], [8, 8]]"
3,5,4.5701,PSO-AFW-CIL,"K=5,s1=0.366,s2=0.034,s3=0.254,s4=0.578",0.7333,0.5,0.6055,0.4444,0.6721,0.6167,"[[33, 12], [8, 8]]"
4,1,0.0186,W-SVM,baseline,1.0,0.0,0.0,0.0,0.7258,0.5,"[[45, 0], [17, 0]]"
4,1,0.094,AFW-CIL_fixed,fixed_sigma_1.2,0.9556,0.2353,0.4742,0.3478,0.7581,0.5954,"[[43, 2], [13, 4]]"
4,1,1.9899,GridSearch-AFW-CIL,"K=5,s=0.1",0.8444,0.5294,0.6686,0.5455,0.7581,0.6869,"[[38, 7], [8, 9]]"
4,1,5.1284,PSO-AFW-CIL,"K=11,s1=0.182,s2=0.010,s3=0.500,s4=0.081",1.0,0.0,0.0,0.0,0.7258,0.5,"[[45, 0], [17, 0]]"
4,2,0.0144,W-SVM,baseline,0.8222,0.4375,0.5998,0.4516,0.7213,0.6299,"[[37, 8], [9, 7]]"
4,2,0.1008,AFW-CIL_fixed,fixed_sigma_1.2,0.8222,0.5,0.6412,0.5,0.7377,0.6611,"[[37, 8], [8, 8]]"
4,2,1.941,GridSearch-AFW-CIL,"K=3,s=0.3",0.8,0.5625,0.6708,0.5294,0.7377,0.6813,"[[36, 9], [7, 9]]"
4,2,5.3592,PSO-AFW-CIL,"K=3,s1=0.129,s2=0.141,s3=0.430,s4=0.552",0.8,0.5625,0.6708,0.5294,0.7377,0.6813,"[[36, 9], [7, 9]]"
4,3,0.0128,W-SVM,baseline,1.0,0.0,0.0,0.0,0.7377,0.5,"[[45, 0], [16, 0]]"
4,3,0.1161,AFW-CIL_fixed,fixed_sigma_1.2,0.8889,0.5,0.6667,0.5517,0.7869,0.6944,"[[40, 5], [8, 8]]"
4,3,2.059,GridSearch-AFW-CIL,"K=7,s=0.1",0.8,0.5625,0.6708,0.5294,0.7377,0.6813,"[[36, 9], [7, 9]]"
4,3,5.9762,PSO-AFW-CIL,"K=9,s1=0.276,s2=0.140,s3=0.034,s4=0.888",0.8222,0.5625,0.6801,0.5455,0.7541,0.6924,"[[37, 8], [7, 9]]"
4,4,0.0157,W-SVM,baseline,0.9333,0.3125,0.5401,0.4167,0.7705,0.6229,"[[42, 3], [11, 5]]"
4,4,0.1037,AFW-CIL_fixed,fixed_sigma_1.2,0.8889,0.3125,0.527,0.3846,0.7377,0.6007,"[[40, 5], [11, 5]]"
